Phrasal Verb,Traduzione IT,Esempio,Trad Esempio,Common Errors,Trad Common Errors
add-up,quadrare / avere senso,The explanation doesn't add up.,La spiegazione non torna,Confusing with add,Confonderlo con add
back-down,arrendersi / fare marcia indietro,He refused to back down.,Si rifiutò di cedere,Using it as transitive,Usarlo come verbo transitivo
break-down,rompersi,The car broke down,L’auto si è rotta,confusing with break,confondere con break
bring-up,menzionare / crescere,He brought up a topic,Ha menzionato un argomento,confusing meanings,confondere significati
carry-on,continuare,Carry on working,Continua a lavorare,confusing with go on,confondere con go on
check-in,registrarsi,Check in at the desk,Fai il check-in al banco,confusing in/out,confondere in/out
check-out,controllare / lasciare hotel,Check out at 11,Fai il check-out alle 11,confusing meanings,confondere significati
come-across,imbattersi in,I came across an old photo,Mi sono imbattuto in una vecchia foto,using find instead,usare find
come-back,tornare,I’ll come back later,Tornerò più tardi,using return incorrectly,uso errato di return
come-in,entrare,Come in please,Entra pure,wrong tense,tempo errato
cut-down,ridurre,You should cut down on sugar.,Dovresti ridurre lo zucchero,Omitting on,Omettere on
drop-by,passare a trovare,I'll drop by later.,Passerò più tardi,Using drop alone,Usare solo drop
drop-off,lasciare qualcuno,Drop me off here,Lasciami qui,confusing with pick up,confondere con pick up
end-up,finire per,He ended up tired.,È finito stanco,Forgetting preposition,Dimenticare la preposizione
fall-apart,andare a pezzi,The plan fell apart,Il piano è andato in pezzi,confusing with break,confondere con break
fall-behind,rimanere indietro,He fell behind at school,È rimasto indietro a scuola,missing behind,dimenticare behind
fill-in,sostituire temporaneamente,She filled in for me.,Mi ha sostituito,Omitting for,Omettere for
find-out,scoprire,I found out the truth,Ho scoperto la verità,using find only,usare solo find
get-along,andare d’accordo,We get along well,Andiamo d’accordo,missing with,dimenticare with
get-back,tornare / riavere,Get back home early,Torna a casa presto,confusing meanings,confondere significati
get-over,superare,She got over the flu,Ha superato l’influenza,using pass instead,usare pass
get-up,alzarsi,I get up at 7,Mi alzo alle 7,forgetting preposition,dimenticare la preposizione
give-in,cedere,He finally gave in.,Alla fine ha ceduto,Using object wrongly,Usare oggetto errato
give-up,arrendersi / smettere,Don’t give up,Non arrenderti,using stop instead of give up,usare stop
go-away,andarsene,Go away please,Vai via per favore,wrong tone,tono sbagliato
go-back,tornare,Go back to work,Torna al lavoro,confusing with come back,confondere con come back
go-on,continuare,Go on please,Continua per favore,confusing with continue,confondere con continue
go-out,uscire,Let’s go out tonight,Usciamo stasera,missing preposition,dimenticare preposizione
grow-up,crescere,I grew up here,Sono cresciuto qui,using grow only,usare solo grow
hand-in,consegnare,Please hand in the form.,Consegna il modulo,Confusing with give,Confonderlo con give
hang-on,aspettare,Hang on a second.,Aspetta un attimo,Confusing with hang out,Confonderlo con hang out
hold-on,attendere,Hold on a moment,Aspetta un attimo,confusing with wait,confondere con wait
keep-on,continuare,Keep on studying,Continua a studiare,confusing with keep,confondere con keep
leave-out,lasciare fuori,Don't leave me out.,Non escludermi,Confusing with forget,Confonderlo con forget
let-down,deludere,Don’t let me down,Non deludermi,confusing with disappoint,confondere con disappoint
look-after,prendersi cura,I look after the kids,Mi prendo cura dei bambini,confusing with look for,confondere con look for
look-around,guardarsi intorno,We looked around the city.,Ci siamo guardati intorno in città,Using around alone,Usare solo around
look-back,guardare al passato,Look back on your life,Ripensa alla tua vita,missing on,dimenticare on
look-for,cercare,I’m looking for my keys,Sto cercando le chiavi,confusing with look at,confondere con look at
look-forward-to,non vedere l’ora,I look forward to meeting you,Non vedo l’ora di incontrarti,wrong verb form,forma verbale errata
look-out,attenzione,Look out!,Attento!,missing out,dimenticare out
move-on,andare avanti,Move on please,Andiamo avanti,confusing with go on,confondere con go on
pass-away,morire (forma gentile),He passed away peacefully.,È morto serenamente,Using in informal context,Usarlo in contesti informali
pass-out,svenire,He passed out,È svenuto,confusing meanings,confondere significati
pick-up,raccogliere / prendere,Pick up the phone,Rispondi al telefono,wrong object position,posizione errata oggetto
put-off,rimandare,Put off the meeting,Rimanda la riunione,confusing with delay,confondere con delay
put-on,indossare,Put on your jacket,Indossa la giacca,confusing with wear,confondere con wear
run-into,incontrare per caso,I ran into her,La incontrai per caso,confusing with run out,confondere con run out
run-out-of,finire (scorte),We ran out of milk,Abbiamo finito il latte,missing of,dimenticare of
set-off,partire,We set off early,Siamo partiti presto,confusing with start,confondere con start
set-up,organizzare / creare,Set up a meeting,Organizza una riunione,confusing with start,confondere con start
show-up,comparire,He didn’t show up,Non si è presentato,confusing with turn up,confondere con turn up
sit-down,sedersi,Please sit down,Per favore siediti,missing particle,dimenticare la particella
slow-down,rallentare,Slow down please,Rallenta per favore,missing down,dimenticare down
sort-out,risolvere,We sorted out the problem.,Abbiamo risolto il problema,Using solve always,Usare sempre solve
speed-up,accelerare,Speed up the process,Accelera il processo,confusing with fast,confondere con fast
stand-up,alzarsi in piedi,Stand up please,Alzati per favore,wrong word order,ordine errato
stay-up,rimanere svegli,We stayed up late,Siamo rimasti svegli fino a tardi,confusing with wake up,confondere con wake up
take-back,ritirare (parole),I take it back,Ritiro quello che ho detto,confusing with return,confondere con return
take-off,togliere / decollare,The plane took off,L’aereo è decollato,confusing meanings,confondere i significati
take-off-clothes,togliersi vestiti,Take off your shoes,Togliti le scarpe,missing off,dimenticare off
think-over,ripensare,Think it over,Riflettici,missing over,dimenticare over
throw-away,buttare via,Throw it away,Buttalo via,confusing with throw out,confondere con throw out
try-on,provare (vestiti),Try on the jacket,Prova la giacca,confusing with wear,confondere con wear
turn-down,rifiutare / abbassare,Turn down the offer,Rifiuta l’offerta,confusing with turn up,confondere con turn up
turn-off,spegnere,Turn off the TV,Spegni la TV,confusing on/off,confondere on/off
turn-on,accendere,Turn on the light,Accendi la luce,using open instead of on,usare open invece di on
turn-up,arrivare / aumentare,He didn’t turn up,Non si è presentato,confusing meanings,confondere significati
