To(verb)﻿ - P S - P P,Traduzione IT,Base IPA,PS IPA,PP IPA,Esempio PS,Trad Esempio PS,Esempio PP,Trad Esempio PP,Common errors,Trad Common errors
abide - abode - abode,rispettare,əˈbaɪd,əˈbəʊd,əˈbəʊd,He abode by rules,Rispettò le regole,He has abode by rules,Ha rispettato le regole,abided,⚠️ forma alternativa
arise - arose - arisen,sorgere,əˈraɪz,əˈrəʊz,əˈrɪzən,Problems arose,Sono sorti problemi,Problems have arisen,Sono sorti problemi,arised,❌ forma errata
awake - awoke - awoken,svegliarsi,əˈweɪk,əˈwəʊk,əˈwəʊkən,I awoke early,Mi svegliai presto,I have awoken early,Mi sono svegliato presto,awaked,❌ forma errata
be-was(were)-been,essere,biː,wɒz(wɜː),biːn,I was very tired yesterday,Ero molto stanco ieri,I have been here before,Sono stato qui prima,I have be,❌ participio passato errato
bear - bore - borne,sopportare,beə,bɔː,bɔːn,She bore pain,Ha sopportato il dolore,She has borne it,Lo ha sopportato,beared,❌ forma errata
beat - beat - beaten,battere,biːt,biːt,ˈbiːtən,He beat me,Mi ha battuto,He has beaten me,Mi ha battuto,beated,❌ forma errata
become - became - become,diventare,bɪˈkʌm,bɪˈkeɪm,bɪˈkʌm,He became famous,È diventato famoso,He has become a teacher,È diventato insegnante,He has became,❌ PS usato al posto del PP
befall - befell - befallen,accadere,bɪˈfɔːl,bɪˈfel,bɪˈfɔːlən,It befell him,Gli accadde,It has befallen him,Gli è accaduto,befalled,❌ forma errata
beget - begot - begotten,procreare,bɪˈɡet,bɪˈɡɒt,bɪˈɡɒtən,He begot sons,Generò figli,He has begotten sons,Ha generato figli,begetted,❌ forma errata
begin - began - begun,iniziare,bɪˈɡɪn,bɪˈɡæn,bɪˈɡʌn,The lesson began late,La lezione è iniziata tardi,The lesson has begun,La lezione è iniziata,has began,❌ forma del PP errata
bend - bent - bent,piegare,bend,bent,bent,He bent it,L’ha piegato,He has bent it,L’ha piegato,bended,❌ forma errata
beseech - besought - besought,supplicare,bɪˈsiːtʃ,bɪˈsɔːt,bɪˈsɔːt,He besought help,Suplicò aiuto,He has besought help,Ha supplicato aiuto,beseeched,❌ forma errata
beset - beset - beset,assediare,bɪˈset,bɪˈset,bɪˈset,Problems beset us,I problemi ci assediarono,Problems have beset us,I problemi ci assediano,besetted,❌ invariabile
bet - bet - bet,scommettere,bet,bet,bet,I bet money,Ho scommesso soldi,I have bet before,Ho scommesso prima,beted,❌ forma errata
betake - betook - betaken,dirigersi verso,bɪˈteɪk,bɪˈtʊk,bɪˈteɪkən,He betook himself home,Si diresse a casa,He has betaken himself home,Si è diretto a casa,betaked,❌ forma errata
bid - bade - bidden,ordinare,bɪd,bæd,ˈbɪdən,He bade farewell,Disse addio,He has bidden farewell,Ha detto addio,bidded,❌ forma errata
bind - bound - bound,legare,baɪnd,baʊnd,baʊnd,They bound him,L’hanno legato,They have bound him,L’hanno legato,binded,❌ forma errata
bleed - bled - bled,sanguinare,bliːd,bled,bled,He bled a lot,Ha sanguinato molto,He has bled,Ha sanguinato,bleeded,❌ forma errata
blow - blew - blown,soffiare,bləʊ,bluː,bləʊn,The wind blew,Il vento soffiava,The wind has blown,Il vento ha soffiato,blowed,❌ forma errata
break - broke - broken,rompere,breɪk,brəʊk,ˈbrəʊkən,I broke it,L’ho rotto,I have broken it,L’ho rotto,breaked,❌ forma errata
bring-brought-brought,portare,brɪŋ,brɔːt,brɔːt,I brought my laptop,Ho portato il mio portatile,I have brought everything,Ho portato tutto,bringed,❌ verbo irregolare
broadcast-broadcast-broadcast,trasmettere,ˈbrɔːdkɑːst,ˈbrɔːdkɑːst,ˈbrɔːdkɑːst,They broadcast news,Hanno trasmesso notizie,They have broadcast news,Hanno trasmesso notizie,broadcasted,⚠️ forma alternativa
build-built-built,costruire,bɪld,bɪlt,bɪlt,They built a house,Hanno costruito una casa,They have built a house,Hanno costruito una casa,builded,❌ forma regolare errata
burst-burst-burst,scoppiare,bɜːst,bɜːst,bɜːst,It burst,È scoppiato,It has burst,È scoppiato,bursted,❌ verbo invariabile
buy-bought-bought,comprare,baɪ,bɔːt,bɔːt,I bought a book,Ho comprato un libro,I have bought a car,Ho comprato un’auto,buyed,❌ forma regolare errata
cast-cast-cast,lanciare,kɑːst,kɑːst,kɑːst,He cast the net,Ha lanciato la rete,He has cast it,L’ha lanciata,casted,❌ invariabile
catch-caught-caught,prendere / catturare,kætʃ,kɔːt,kɔːt,I caught the ball,Ho preso la palla,I have caught a cold,Ho preso un raffreddore,catched,❌ forma errata
chide-chid-chidden,rimproverare,tʃaɪd,tʃɪd,ˈtʃɪdən,He chid him,Lo rimproverò,He has chidden him,Lo ha rimproverato,chided,⚠️ forma alternativa
choose-chose-chosen,scegliere,tʃuːz,tʃəʊz,ˈtʃəʊzən,I chose this one,Ho scelto questo,I have chosen well,Ho scelto bene,choosed,❌ verbo irregolare
cleave-clove-cloven,spaccare,kliːv,kləʊv,ˈkləʊvən,He clove wood,Spaccò legna,He has cloven it,L’ha spaccata,cleaved,⚠️ forma alternativa
cling-clung-clung,aggrapparsi,klɪŋ,klʌŋ,klʌŋ,He clung to me,Si è aggrappato a me,He has clung to me,Si è aggrappato a me,clinged,❌ forma errata
come-came-come,venire,kʌm,keɪm,kʌm,She came early,È venuta presto,She has come back,È tornata,has came,❌ PP errato
cost-cost-cost,costare,kɒst,kɒst,kɒst,It cost a lot,È costato molto,It has cost much,È costato molto,costed,❌ invariabile
creep-crept-crept,muoversi lentamente,kriːp,krept,krept,He crept closer,Si avvicinò piano,He has crept closer,Si è avvicinato,creeped,❌ forma errata
crow-crew-crowed,cantare (gallo),krəʊ,kruː,krəʊd,The cock crew,Il gallo cantò,The cock has crowed,Il gallo ha cantato,crowed,⚠️ doppia forma
cut-cut-cut,tagliare,kʌt,kʌt,kʌt,I cut my finger,Mi sono tagliato un dito,I have cut the paper,Ho tagliato la carta,cutted,❌ verbo invariabile
