Phrasal-Verb,Traduzione-IT,Esempio,Trad-Esempio,Common-Errors
act-up,funzionare male,The computer is acting up,Il computer non funziona bene,Using break
act-up,non funzionare,My phone is acting up,Il telefono non funziona,Using break
add-up,quadrare / avere senso,The story doesn’t add up,La storia non torna,Using make sense only
add-up-to,ammontare a,It adds up to 100,Fa un totale di 100,Using equal
ask-for,chiedere,I asked for help,Ho chiesto aiuto,Using ask alone
back-away,indietreggiare,He backed away slowly,Si è allontanato lentamente,Using go back
back-down,fare marcia indietro,He refused to back down,Si rifiutò di cedere,Using give up
back-down,ritirarsi,He backed down,Si è ritirato,Using give up
back-up,sostenere / fare backup,She backed me up,Mi ha sostenuto,Confusing with back
bank-on,contare su,I’m banking on you,Conto su di te,Using rely without on
be-up-to,essere responsabile,It’s up to you,Dipende da te,Missing to
block-out,escludere,I blocked out noise,Ho escluso il rumore,Using block
blow-up,esplodere / arrabbiarsi,He blew up at me,È esploso contro di me,Confusing meanings
break-away,staccarsi,The group broke away,Il gruppo si è staccato,Using leave
break-down,guastarsi / crollare,The car broke down,L’auto si è guastata,Confusing with break up
break-out,scoppiare / evadere,A fire broke out,È scoppiato un incendio,Using break only
break-through,farsi strada,They broke through barriers,Hanno superato ostacoli,Using pass
bring-about,causare,They brought about change,Hanno causato un cambiamento,Using bring only
bring-about,provocare,The law brought about change,La legge ha portato cambiamento,Using cause
bring-forward,anticipare,They brought forward the meeting,Hanno anticipato la riunione,Using move
bring-up,sollevare / crescere,He brought up a problem,Ha sollevato un problema,Wrong preposition
brush-aside,ignorare,She brushed aside criticism,Ha ignorato le critiche,Using ignore
brush-up,ripassare,I need to brush up my English,Devo ripassare l’inglese,Missing on
build-up,accumulare,Stress built up,Lo stress si è accumulato,Using grow
buy-into,credere in,I don’t buy into that,Non ci credo,Using believe
call-off,annullare,They called off the meeting,Hanno annullato la riunione,Using cancel only
calm-down,calmarsi,Calm down please,Calmati per favore,Using relax
carry-on,continuare,Carry on working,Continua a lavorare,Using continue
carry-on-with,continuare,Carry on with your work,Continua il tuo lavoro,Missing with
carry-out,svolgere,They carried out the plan,Hanno eseguito il piano,Confusing with carry on
catch-up,rimettersi in pari,I need to catch up,Devo recuperare,Using catch only
catch-up-with,raggiungere,I caught up with him,L’ho raggiunto,Missing with
check-in,registrarsi,We checked in early,Ci siamo registrati presto,Confusing with check out
check-out,andarsene / pagare,We checked out at noon,Abbiamo lasciato la stanza a mezzogiorno,Using leave only
clear-away,sgomberare,Clear away dishes,Togli i piatti,Using clean
clear-up,chiarire / rasserenare,Let’s clear this up,Chiariamo la cosa,Using clean up
come-about,accadere,How did it come about?,Come è successo?,Using happen
come-across,imbattersi,I came across a photo,Mi sono imbattuto in una foto,Using meet
come-across-as,apparire,He comes across as rude,Sembra scortese,Using seem
come-back,tornare,She came back late,È tornata tardi,Confusing with comeback noun
come-down-to,ridursi a,It comes down to money,Si riduce ai soldi,Using depend
come-in,entrare,Come in please,Entra pure,Using enter
come-out,uscire / risultare,The truth came out,La verità è uscita,Using exit
come-up-with,inventare,She came up with an idea,Ha inventato un’idea,Using think up
cool-down,raffreddarsi,Let it cool down,Lascialo raffreddare,Using relax
crack-down,reprimere,Police cracked down on crime,La polizia ha represso il crimine,Using break down
cut-back-on,ridurre,We cut back on sugar,Abbiamo ridotto lo zucchero,Missing on
cut-down,ridurre,He cut down sugar,Ha ridotto lo zucchero,Missing on
cut-in,interrompere,Don’t cut in,Non interrompere,Using interrupt
cut-off,tagliare / interrompere,We were cut off,La comunicazione è caduta,Using cut down
deal-with,affrontare,He can’t deal with stress,Non riesce a gestire lo stress,Missing with
die-down,attenuarsi,The noise died down,Il rumore è diminuito,Using stop
do-over,rifare,Let’s do it over,Rifacciamolo,Using redo
do-without,farne a meno,I can do without it,Posso farne a meno,Using live without
drag-on,trascinarsi,The meeting dragged on,La riunione si è trascinata,Using continue
draw-up,redigere,They drew up a contract,Hanno redatto un contratto,Using write
drop-by,passare a trovare,Drop by later,Passa dopo,Using visit
drop-off,diminuire,Sales dropped off,Le vendite sono diminuite,Using fall
drop-off,lasciare,I’ll drop you off,Ti lascio lì,Confusing with drop out
drop-out,abbandonare,He dropped out of school,Ha lasciato la scuola,Confusing with drop off
ease-off,allentare,The rain eased off,La pioggia si è attenuata,Using stop
end-up,finire per,We ended up tired,Siamo finiti stanchi,Using finish instead
end-up-with,finire con,He ended up with nothing,Ha finito senza nulla,Using finish
fall-apart,crollare,The plan fell apart,Il piano è fallito,Using fail
fall-back-on,ricorrere a,She fell back on savings,Ha usato i risparmi,Using rely
fall-behind,rimanere indietro,He fell behind at school,È rimasto indietro a scuola,Using stay behind
fall-for,innamorarsi / credere,I fell for him,Mi sono innamorata,Confusing meanings
figure-out,capire,I can’t figure it out,Non riesco a capirlo,Using understand
fill-in,sostituire / compilare,Fill in the form,Compila il modulo,Using complete
fill-in,sostituire,She filled in for me,Mi ha sostituito,Missing for
fill-in-for,sostituire,I filled in for him,L’ho sostituito,Missing for
find-out,scoprire,I found out the truth,Ho scoperto la verità,Using find only
get-ahead,avanzare,He wants to get ahead,Vuole fare carriera,Using succeed
get-ahead,avere successo,She wants to get ahead,Vuole avere successo,Using succeed
get-along,andare d’accordo,They get along well,Vanno d’accordo,Missing with
get-around,aggirare / muoversi,He gets around easily,Si muove facilmente,Confusing meanings
get-away,fuggire / andare via,They got away early,Sono scappati presto,Using escape only
get-back,tornare,When did you get back?,Quando sei tornato?,Confusing with return
get-by,cavarsela,We get by somehow,Ce la caviamo,Using survive
get-in,entrare,Get in the car,Sali in macchina,Using enter
get-out,uscire,Get out now,Esci ora,Using go out
get-over,superare,He got over the flu,Ha superato l’influenza,Using recover only
give-away,regalare,She gave away clothes,Ha regalato vestiti,Using donate
give-back,restituire,Give it back to me,Restituiscimelo,Using return
give-in,cedere,He finally gave in,Alla fine ha ceduto,Using give up
give-up,arrendersi / smettere,Don’t give up,Non mollare,Using stop only
go-ahead,procedere,Go ahead and start,Procedi pure,Using continue
go-on,continuare,Go on talking,Continua a parlare,Confusing meanings
go-out,uscire,Let’s go out tonight,Usciamo stasera,Using exit
go-through,attraversare / esaminare,We went through problems,Abbiamo passato problemi,Using pass through
grow-up,crescere,She grew up here,È cresciuta qui,Using grow only
hand-back,restituire,Hand back the keys,Restituisci le chiavi,Using give
hand-in,consegnare,Hand in homework,Consegna i compiti,Using submit
hand-out,distribuire,They handed out flyers,Hanno distribuito volantini,Using give
hang-on,aspettare,Hang on a second,Aspetta un attimo,Confusing with hang out
head-for,dirigersi verso,We’re heading for home,Andiamo verso casa,Using go
hold-back,trattenere,He held back tears,Ha trattenuto le lacrime,Using stop
hold-back,trattenere,She held back tears,Ha trattenuto le lacrime,Using stop
hold-on,aspettare / tenere,Hold on tight,Tieni forte,Using wait only
iron-out,risolvere,We ironed out issues,Abbiamo risolto problemi,Using fix
jump-to,giungere a conclusioni,Don’t jump to conclusions,Non trarre conclusioni affrettate,Missing conclusions
keep-away-from,stare lontano,Keep away from fire,Stai lontano dal fuoco,Using avoid
keep-on,continuare,He kept on working,Ha continuato a lavorare,Using keep only
keep-up,tenere il passo,Keep up with me,Stai al passo con me,Missing with
knock-out,mettere KO,He knocked him out,L’ha messo KO,Using knock only
lay-off,licenziare,They laid off workers,Hanno licenziato lavoratori,Using fire
leave-behind,lasciare indietro,Don’t leave me behind,Non lasciarmi indietro,Using forget
